LEI,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
54930056IRBXK0Q1FP96,0.029432472399184763,0.004609362202246937,0.1757571326923839,0.06499852049888137,0.005257603006750408,0.08808717763872573,0.14281487737932264,0.07905379814955038,0.061527541589953993,0.019040253066494157,0.09025004265733691,0.12755151376383023,0.04986792510010439,0.02379855813214672,0.0005962860350522915,0.0036383619430370947,0.015725868268072443,0.006906450648643623,0.011086254828282016
5493006QMFDDMYWIAM13,0.026640247750731372,0.03242091341996859,0.1517297586129837,0.040568210335878846,0.0053205005879961515,0.06046205461207991,0.23142713781054916,0.047435467526738676,0.03585224123031451,0.04032612226159357,0.0,0.1329097430737087,0.05447779567234277,0.04351410878348649,0.002268056355695974,0.005721379123062918,0.013007087266437935,0.004422770215627578,0.07149640536080312
5493007SJLLCTM6J6M37,0.052820105317901246,0.0007015235199307459,0.13318323905208682,0.11327019810205137,0.024016404857696842,0.12701150641117379,0.09592878783953494,0.04738355258253083,0.035878103019764046,0.022963214532137212,0.10845580769499236,0.0788035137945363,0.04321904152722836,0.057643319920179494,0.014734539359474292,0.0037257901699144043,0.018267102280228608,0.005268836460850608,0.01672541355778767
5493008QOCP58OLEN998,0.0002684369440547433,0.0,0.24082893757467624,0.06185680403446193,0.12384783928906586,0.06566041410035767,0.25304814237404377,0.002974508929742345,0.0026657321191700806,0.013885727286421514,0.0,0.06204898107663299,0.0635913213527508,0.015108299343958485,0.0007207247109016229,0.0009104122468322412,0.014852550984231968,0.07773116763269759,0.0
5493009EIBTCB1X12G89,5.098017509720229e-06,0.0006875383984243981,0.026437307265898474,0.056158330415654434,0.024367568811129534,0.05462612347841496,0.0017692097434666818,2.3219313723035698e-05,0.029865876663724308,0.0016072150147709106,0.0,0.07965025087255459,0.08316032173217396,0.0,0.0,0.0015861592452718182,0.008448626294887221,3.091736890996645e-07,0.6316068455587069
549300C6TUMDXNOVXS82,0.06801042636316418,0.002490009150399638,0.06962551644074133,0.002781450003066376,0.0038729325306722726,0.1241144972994891,0.061669506038568814,0.044213604017537746,0.017921356694526863,0.0074702887800438085,0.003999618235786486,0.511223987956032,0.028056373803778668,0.028818867385149088,6.783601978733482e-06,0.005372514889581012,0.0038848914569981053,0.011567456334281741,0.004899919018204175
549300C9KPZR0VZ16R05,2.7541359313505285e-07,0.0033975935149432313,0.5543500296606818,0.331190198777564,0.01886203927235217,0.00021932336162162926,0.005078093677000185,0.013953591203047917,0.012650229618440673,0.03102020151887067,0.0,0.01427650421241602,0.00037941000509707484,0.003988728340847832,0.0,0.000996503054560063,0.005659806797076749,0.0004086065472145296,0.003568865024672245
549300DYPOFMXOR7XM56,0.13771948068148956,0.00033720471980419625,0.04303648069742654,0.002253960371432021,0.0030973566833410178,0.14233317763883324,0.12124844781844601,0.025392616635189283,0.054320784658198264,0.02504904589397142,0.039799039865207116,0.11925886265593999,0.11812294380556926,0.07203533815637747,8.911058253962524e-06,0.001811917137987853,0.05741386804401324,0.00893012059338126,0.027830442885138293
549300GKFG0RYRRQ1414,0.0668333661940205,0.02922497213644356,0.08258584379788318,0.08124142656896947,0.005132031531050033,0.10076192037576999,0.061459992379354275,0.08920802222501091,0.011054785308551038,0.03374740179292475,0.0,0.2620304393017393,0.11581054913387774,0.03665178759679542,4.824014940644833e-05,0.002297684065953808,0.014839371877827938,0.0032648205769457875,0.0038073449874759073
549300HFEHJOXGE4ZE63,0.0,0.015400545775844918,0.0,0.06533876929224298,0.0,0.004086703556969222,0.0,0.783661491267064,0.0,0.011415214356805441,0.0022956460516560437,0.10756779330406402,0.0,0.009258672033039577,0.0,0.0,0.0009751643623137397,0.0,0.0
549300L7YCATGO57ZE10,0.002834110862673538,0.0,0.049903021785763946,0.0029374705374960062,0.0012640145868482524,0.03136823368880115,0.1164146870100587,0.008691920499849671,0.013180928255537093,0.030400307452204005,0.0,0.1260514063054541,0.524345629042127,0.07656439293465242,0.0,0.006485105785200892,0.0019652614414448883,0.004667745756899758,0.0029257640549884886
549300NYKK9MWM7GGW15,0.01355752626804125,0.02660157449861351,0.20912659296634847,0.08254596828894471,0.011248515003110667,0.03834536316076449,0.1598051456107701,0.09535267510042589,0.010061948529912792,0.06900634240709892,0.0,0.15065689640316512,0.03592688780820868,0.05706593901321052,0.005248192225398221,0.0010923661044391663,0.02546808879168931,0.0033156412197304953,0.0055743366001276195
549300OLBL49CW8CT155,0.03869242839967362,0.002751359523839396,0.24224255330330033,0.01685826131027017,0.017818147989197192,0.13139221206417775,0.21012984627373416,0.06333458951055723,0.016614087917097984,0.013906284286950963,0.06635610209785542,0.04469237111420474,0.05415903156310977,0.04494056869320721,0.015447192384725424,0.0036080376720605757,0.008552578473399068,0.003972048952090175,0.004532298470548997
549300Q3OIWRHQUQM052,0.047898572931367664,0.027767924510911084,0.04119036706978795,0.03972879361208032,0.009410165488979804,0.1138976985309145,0.024218638573565213,0.09564843108749697,0.005612099425417206,0.020670569674352126,0.058070702420215684,0.42096998826862175,0.03415252502385534,0.045641603795149296,0.0,0.0024316394619872763,0.006475684175706542,0.0059940001092623945,0.00022059584032885663
549300RG3H390KEL8896,0.10120364992210353,0.004626175535766052,0.15421661952725055,0.03959973201713872,0.008648510830022148,0.08921647350686959,0.22403587004312428,0.08703601494708671,0.03770047997357449,0.0017234211029227538,0.01743872469350386,0.00647531342952149,0.10617910810760127,0.027589643578666778,0.02319166953342236,0.00010357656063981746,0.0025774804830917004,0.04196995485131912,0.02646758135637481
549300TK038P6EV4YU51,0.02431991677117604,0.0026188379952735356,0.13978346753881543,0.06373452476510925,0.013653732417138641,0.09005045847103907,0.11135492479560258,0.05875295279464792,0.035935778678293985,0.003811166633532586,0.005082718110689752,0.2788260271440366,0.050926832476580676,0.0785920457280205,0.0,0.0011699070800803388,0.03133487494002233,0.007289497692323406,0.002762335967617291
549300TRUWO2CD2G5692,0.015957798365254003,0.005328550624966101,0.2409629810108699,0.04846566071927349,0.01031508403657431,0.06418939055865147,0.17575529854193286,0.04795719868834698,0.02054621279492436,0.03475380313681223,0.017929277282383162,0.1822524523134862,0.0838696495961534,0.02397506615891267,0.004356510519112181,0.0014220494569121614,0.008622775439817446,0.005177913633939988,0.008162327121677188
549300U4LIZV0REEQQ46,0.007161712243042514,0.000936129549117067,0.1827574923213142,0.034263577601372906,0.027449288359533704,0.12235066237151457,0.0626887552231464,0.10699037075226836,0.01846865440575094,0.01754731916849349,0.2194046087590697,0.07661000802104763,0.06117336023302599,0.02230515039634643,0.02001524398107535,0.00431580249554735,0.004599035702859751,0.0029197839757941703,0.008043044439679552
5UMCZOEYKCVFAW8ZLO05,0.010895608332263093,0.0169026999563793,0.17332051301398954,0.1707630399884527,0.003024930121149349,0.02443732729193237,0.14082972967174012,0.2280892704049478,0.08489790403999185,0.025410677802522534,0.021215657420699176,0.049736966838511115,0.014922777800192123,0.011337769730515616,0.00012360397573625212,0.0007513561275901015,0.005446664627817035,0.0005849630014494724,0.01730853985412062
